Team,D-Rush_Att,D-Rush_Yds,D-Rush_YPC,D-Rush_TD,D-Rush_1st,D-Rush_1st%,Year
49ers,389,1321,3.4,11,77,19.8,2022
Bears,542,2674,4.9,31,151,27.9,2022
Bengals,407,1706,4.2,12,102,25.1,2022
Bills,387,1673,4.3,10,103,26.6,2022
Broncos,438,1866,4.3,12,109,24.9,2022
Browns,488,2295,4.7,22,129,26.4,2022
Buccaneers,458,2052,4.5,12,103,22.5,2022
Cardinals,446,2016,4.5,21,124,27.8,2022
Chargers,457,2478,5.4,17,119,26,2022
Chiefs,419,1823,4.4,10,102,24.3,2022
Colts,511,2109,4.1,20,127,24.8,2022
Commanders,441,1926,4.4,10,102,23.1,2022
Cowboys,497,2198,4.4,9,119,23.9,2022
Dolphins,422,1751,4.2,15,98,23.2,2022
Eagles,446,2068,4.6,15,115,25.8,2022
Falcons,500,2214,4.4,15,136,27.2,2022
Giants,469,2451,5.2,16,134,28.6,2022
Jaguars,470,1951,4.2,14,114,24.3,2022
Jets,492,2068,4.2,14,117,23.8,2022
Lions,477,2491,5.2,22,135,28.3,2022
Packers,479,2372,5,18,129,26.9,2022
Panthers,488,2085,4.3,17,125,25.6,2022
Patriots,441,1793,4.1,7,90,20.4,2022
Raiders,460,2087,4.5,20,126,27.4,2022
Rams,455,1956,4.3,12,106,23.3,2022
Ravens,406,1566,3.9,11,91,22.4,2022
Saints,492,2218,4.5,14,122,24.8,2022
Seahawks,525,2554,4.9,21,130,24.8,2022
Steelers,442,1838,4.2,7,95,21.5,2022
Texans,573,2894,5,25,150,26.2,2022
Titans,390,1307,3.4,9,93,23.8,2022
Vikings,463,2093,4.5,18,113,24.4,2022
Titans,368,1438,3.9,14,90,24.5,2021
Eagles,458,1834,4,18,115,25.1,2021
Ravens,378,1436,3.8,13,81,21.4,2021
Saints,426,1589,3.7,12,84,19.7,2021
Colts,420,1854,4.4,10,101,24,2021
49ers,439,1760,4,17,97,22.1,2021
Cardinals,426,1952,4.6,10,109,25.6,2021
Patriots,464,2103,4.5,9,111,23.9,2021
Browns,437,1857,4.2,13,108,24.7,2021
Football Team,430,1775,4.1,14,101,23.5,2021
Bears,483,2127,4.4,14,116,24,2021
Cowboys,429,1918,4.5,13,99,23.1,2021
Bills,442,1866,4.2,19,108,24.4,2021
Panthers,474,1935,4.1,16,112,23.6,2021
Broncos,441,1892,4.3,9,99,22.4,2021
Vikings,475,2222,4.7,15,131,27.6,2021
Packers,395,1855,4.7,13,120,30.4,2021
Dolphins,425,1867,4.4,16,106,24.9,2021
Bengals,407,1742,4.3,15,107,26.3,2021
Chiefs,419,1999,4.8,15,121,28.9,2021
Lions,518,2296,4.4,19,135,26.1,2021
Chargers,509,2361,4.6,22,144,28.3,2021
Texans,523,2418,4.6,25,135,25.8,2021
Rams,443,1754,4,18,111,25.1,2021
Giants,492,2193,4.5,15,126,25.6,2021
Raiders,462,1943,4.2,18,109,23.6,2021
Seahawks,509,1932,3.8,16,124,24.4,2021
Steelers,498,2483,5,17,144,28.9,2021
Falcons,519,2242,4.3,19,143,27.6,2021
Jaguars,493,2127,4.3,22,124,25.2,2021
Buccaneers,366,1573,4.3,11,94,25.7,2021
Jets,525,2351,4.5,28,129,24.6,2021
49ers,430,1703,4,12,102,23.7,2020
Bears,438,1814,4.1,11,104,23.7,2020
Bengals,463,2368,5.1,13,126,27.2,2020
Bills,414,1914,4.6,21,125,30.2,2020
Broncos,434,2080,4.8,22,106,24.4,2020
Browns,412,1773,4.3,16,116,28.2,2020
Buccaneers,358,1289,3.6,10,78,21.8,2020
Cardinals,436,2008,4.6,13,118,27.1,2020
Chargers,427,1917,4.5,17,112,26.2,2020
Chiefs,433,1954,4.5,14,113,26.1,2020
Colts,390,1448,3.7,16,94,24.1,2020
