Team,O-Pass_Att,O-Pass_Cmp,O-Pass_Cmp%,O-Pass_Yds/Att,O-Pass_Yds,O-Pass_TD,O-Pass_INT,O-Pass_Rate,O-Pass_1st,O-Pass_1st%,O-Pass_20+,O-Pass_40+,O-Pass_Lng,O-Pass_Sck,O-Pass_SckY,Year
49ers,512,338,66,7.9,4049,30,9,102.2,188,36.7,56,6,57,31,193,2022
Bears,377,223,59.2,6.9,2598,19,15,80.3,109,28.9,38,7,56,58,379,2022
Bengals,610,418,68.5,7.4,4520,35,12,101,221,36.2,54,10,60T,44,280,2022
Bills,574,361,62.9,7.5,4291,35,14,95.8,212,36.9,51,12,98T,33,162,2022
Broncos,571,345,60.4,7,4007,18,15,81.2,166,29.1,55,12,67T,63,415,2022
Browns,540,335,62,6.9,3710,19,12,84.9,182,33.7,44,5,55T,44,266,2022
Buccaneers,751,499,66.4,6.3,4746,26,10,89.8,240,32,50,8,63T,22,160,2022
Cardinals,664,433,65.2,6,3966,17,17,79.2,189,28.5,40,3,77,46,340,2022
Chargers,711,485,68.2,6.7,4791,26,10,93.3,232,32.6,50,7,55,39,207,2022
Chiefs,651,435,66.8,8.1,5250,41,12,104.7,272,41.8,73,13,67,26,188,2022
Colts,604,398,65.9,6.4,3854,17,20,79.2,193,32,41,4,49,60,422,2022
Commanders,554,344,62.1,6.8,3783,24,16,84.7,184,33.2,46,10,75T,48,311,2022
Cowboys,556,355,63.8,7,3911,28,18,87.9,194,34.9,50,5,68T,27,175,2022
Dolphins,584,368,63,8.2,4765,30,15,95,220,37.7,62,14,84T,35,254,2022
Eagles,536,350,65.3,8.1,4364,25,9,99,195,36.4,63,13,78T,44,259,2022
Falcons,415,257,61.9,7,2927,17,9,87.7,148,35.7,37,5,75T,37,228,2022
Giants,520,346,66.5,6.6,3431,17,6,91.1,170,32.7,28,5,65,49,274,2022
Jaguars,596,394,66.1,7,4148,25,9,93.9,208,34.9,55,3,59T,28,189,2022
Jets,627,357,56.9,6.4,4040,15,14,75,191,30.5,47,10,79,42,317,2022
Lions,588,383,65.1,7.6,4444,29,7,99.3,228,38.8,57,12,81,24,163,2022
Packers,563,364,64.6,6.9,3890,27,12,91.9,186,33,55,7,63,32,258,2022
Panthers,457,267,58.4,7.1,3246,16,13,80.2,138,30.2,49,12,75,36,250,2022
Patriots,540,358,66.3,7.1,3815,19,14,87.7,166,30.7,57,9,53T,41,279,2022
Raiders,586,359,61.3,7.1,4182,28,17,86.7,193,32.9,58,10,60T,35,248,2022
Rams,531,347,65.4,6.6,3506,16,15,82.3,181,34.1,38,4,75T,59,398,2022
Ravens,488,300,61.5,6.6,3202,19,13,82.5,149,30.5,33,6,75T,38,162,2022
Saints,512,338,66,7.8,3969,24,14,93.6,181,35.4,45,13,68T,38,277,2022
Seahawks,573,399,69.6,7.5,4282,30,12,100,206,36,50,6,54,46,348,2022
Steelers,571,364,63.8,6.4,3661,12,14,78.7,189,33.1,44,3,57T,38,250,2022
Texans,579,352,60.8,6.3,3642,20,19,76.8,159,27.5,55,7,58T,38,298,2022
Titans,456,285,62.5,7.1,3227,16,11,85.3,153,33.6,41,11,69T,49,313,2022
Vikings,672,448,66.7,7.2,4818,30,15,93.1,244,36.3,50,10,66,47,334,2022
49ers,514,343,66.7,8.6,4437,26,14,99.2,200,38.9,63,11,83,33,216,2021
Bears,542,332,61.2,6.7,3635,16,20,75.5,180,33.2,40,7,64T,58,428,2021
Bengals,555,384,69.2,8.7,4806,36,14,106.9,208,37.5,63,16,82T,55,403,2021
Bills,655,415,63.4,6.8,4450,36,16,91.3,236,36,51,8,61,27,166,2021
Broncos,541,354,65.4,7.1,3856,20,9,91.7,179,33.1,46,7,64,40,263,2021
Browns,520,320,61.5,7,3619,21,14,84.6,177,34,47,9,71T,49,299,2021
Buccaneers,731,492,67.3,7.4,5383,43,12,101.6,273,37.4,76,10,62T,23,154,2021
Cardinals,591,415,70.2,7.8,4619,27,11,100.6,214,36.2,62,11,77T,39,343,2021
Chargers,674,443,65.7,7.4,5014,38,15,97.4,256,38,53,15,72T,31,214,2021
Chiefs,675,448,66.4,7.3,4937,37,13,98.1,267,39.6,58,11,75T,28,146,2021
Colts,521,324,62.2,6.9,3588,27,8,93.5,167,32,42,9,76T,32,227,2021
Cowboys,647,444,68.6,7.7,4963,40,11,104.8,248,38.3,63,9,73T,33,163,2021
Dolphins,615,404,65.7,6.4,3936,21,14,85.4,206,33.5,45,8,65T,40,285,2021
Eagles,494,307,62.2,7.3,3585,20,10,89.2,167,33.8,51,5,91T,31,181,2021
Falcons,573,377,65.8,7,3987,20,15,86.6,196,34.2,44,7,64,40,274,2021
Football Team,550,356,64.7,6.8,3746,21,15,85.8,181,32.9,42,7,73T,43,305,2021
Giants,593,351,59.2,5.8,3463,15,20,70.1,171,28.8,31,6,60T,38,267,2021
Jaguars,604,361,59.8,6.1,3674,12,17,72.1,178,29.5,44,5,58,32,238,2021
Jets,603,357,59.2,6.6,3959,20,20,76,195,32.3,52,6,62T,53,418,2021
Lions,593,396,66.8,6.6,3884,23,14,88.1,193,32.6,49,5,75,36,286,2021
Packers,593,402,67.8,7.6,4526,39,7,107.4,235,39.6,61,11,75,33,211,2021
Panthers,599,348,58.1,6,3573,14,21,68.5,174,29,36,5,64,52,334,2021
Patriots,535,364,68,7.7,4098,24,13,95.5,187,35,60,8,75,28,241,2021
Raiders,628,429,68.3,7.7,4808,23,14,93.8,217,34.6,67,10,61T,40,241,2021
Rams,607,406,66.9,8.1,4893,41,18,101.6,233,38.4,65,18,79T,31,251,2021
Ravens,611,396,64.8,7,4267,21,18,84.4,209,34.2,54,6,49T,57,306,2021
Saints,504,293,58.1,6.8,3437,29,13,87.4,165,32.7,41,8,72,37,251,2021
Seahawks,495,324,65.4,7.7,3815,30,7,103,166,33.5,56,12,84,46,383,2021
Steelers,664,425,64,6,4017,23,11,85.3,204,30.7,41,9,59,38,239,2021
Texans,546,354,64.8,6.6,3630,21,15,85.2,162,29.7,44,8,67T,44,325,2021
Titans,535,359,67.1,7,3745,22,14,90,194,36.3,35,7,57,47,327,2021
Vikings,604,398,65.9,7.4,4450,34,7,101.6,202,33.4,63,10,64T,30,212,2021
49ers,570,371,65.1,7.6,4320,25,17,90.1,217,38.1,55,10,76,39,287,2020
Bears,614,402,65.5,6.4,3925,26,16,86.5,218,35.5,42,3,53,36,270,2020
Bengals,581,372,64,6.5,3793,19,11,85.6,201,34.6,35,5,72T,48,345,2020
Bills,596,410,68.8,8,4786,40,11,107.6,240,40.3,66,10,56,27,166,2020
Broncos,556,317,57,6.6,3673,21,23,72.5,176,31.6,49,11,92,32,222,2020
Browns,501,315,62.9,7.4,3701,27,8,96.6,195,38.9,45,5,75,26,162,2020
Buccaneers,626,410,65.5,7.6,4776,42,12,102.8,238,38,67,12,50,22,150,2020
Cardinals,575,387,67.3,7.1,4102,27,13,94.1,211,36.7,45,14,80T,29,186,2020
Chargers,627,413,65.9,7.2,4548,31,10,97,226,36,54,10,72T,34,219,2020
Chiefs,630,420,66.7,7.9,5005,40,7,107.3,255,40.5,69,8,75T,24,151,2020
Colts,552,371,67.2,7.6,4186,24,11,95.9,201,36.4,56,8,55,21,133,2020
Cowboys,639,413,64.6,7.1,4511,25,13,89.9,231,36.2,50,11,69,44,350,2020
Dolphins,559,370,66.2,7,3937,24,13,91.2,207,37,40,4,70,34,201,2020
Eagles,598,334,55.8,6.2,3728,22,20,72.9,177,29.6,43,9,81T,65,401,2020
Falcons,628,408,65,7.4,4620,27,11,93.9,243,38.7,59,8,63T,41,257,2020
Football Team,601,389,64.7,6.3,3796,16,16,80.1,184,30.6,40,6,68,50,331,2020
Giants,517,321,62.1,6.4,3336,12,11,79.6,178,34.4,36,5,53,50,310,2020
Jaguars,616,387,62.8,6.4,3955,25,16,83.9,205,33.3,45,5,73,44,256,2020
Jets,499,292,58.5,6.2,3115,16,14,75.9,146,29.3,39,6,69,43,319,2020
Lions,582,374,64.3,7.6,4397,27,13,93.3,220,37.8,58,8,73,42,293,2020
Packers,526,372,70.7,8.2,4299,48,5,121.5,216,41.1,57,14,78T,21,193,2020
Panthers,550,373,67.8,7.5,4129,16,16,87.4,192,34.9,55,9,75T,36,241,2020
Patriots,440,283,64.3,7.1,3124,12,14,81.1,157,35.7,38,3,50,37,234,2020
Raiders,551,369,67,8,4383,28,10,100.4,206,37.4,59,12,85,28,166,2020
Rams,590,392,66.4,7.1,4183,20,14,88.4,206,34.9,50,6,56T,25,169,2020
Ravens,406,257,63.3,7.2,2919,27,11,95.7,142,35,38,5,70T,32,180,2020
Saints,522,370,70.9,7.6,3945,28,8,104.1,199,38.1,44,9,52T,29,187,2020
Seahawks,563,388,68.9,7.5,4245,40,13,105,216,38.4,45,11,62,48,304,2020
Steelers,656,428,65.2,6.3,4129,35,11,93.5,206,31.4,48,7,84T,14,126,2020
Texans,546,383,70.2,8.9,4843,33,7,112.3,222,40.7,70,11,77T,50,305,2020
Titans,485,316,65.2,7.9,3826,33,7,105.9,203,41.9,44,13,75T,25,173,2020
Vikings,516,349,67.6,8.3,4265,35,13,105,212,41.1,58,7,71T,39,256,2020
49ers,478,331,69.2,8.4,4029,28,13,103.1,195,40.8,62,8,75,36,237,2019
Bears,580,371,64,6.2,3573,20,12,83.9,178,30.7,39,2,53,45,282,2019
Bengals,616,356,57.8,6.5,3994,18,16,76.2,191,31,48,7,66T,48,342,2019
Bills,513,299,58.3,6.8,3476,21,12,82.8,162,31.6,54,8,53,40,247,2019
Broncos,504,312,61.9,6.8,3401,16,10,84.1,162,32.1,46,10,75,41,286,2019
Browns,539,318,59,7.1,3847,22,21,78.4,180,33.4,58,9,89T,41,293,2019
Buccaneers,630,382,60.6,8.1,5127,33,30,84.1,244,38.7,75,13,71T,47,282,2019
Cardinals,554,355,64.1,6.8,3797,20,12,87,176,31.8,49,10,88T,50,320,2019
Chargers,597,394,66,7.8,4648,24,20,89,220,36.8,57,12,84,34,222,2019
Chiefs,576,378,65.6,8.1,4690,30,5,104.4,211,36.6,59,18,83,25,192,2019
Colts,513,307,59.8,6.5,3314,22,10,85,165,32.2,38,3,50,32,206,2019
Cowboys,597,388,65,8.2,4902,30,11,99.5,229,38.4,68,16,62,23,151,2019
Dolphins,615,371,60.3,6.7,4117,22,18,80,210,34.2,49,7,51T,58,313,2019
Eagles,613,391,63.8,6.6,4063,27,8,92.1,215,35.1,52,6,53T,37,230,2019
Falcons,684,459,67.1,7.4,5049,29,15,93.8,258,37.7,52,5,93T,50,335,2019
Giants,607,376,61.9,6.7,4070,30,17,86.4,187,30.8,54,11,75,43,339,2019
Jaguars,589,364,61.8,6.8,4023,24,8,90,183,31.1,53,6,70T,42,263,2019
Jets,521,323,62,6.6,3443,19,16,80.6,162,31.1,44,6,92T,52,332,2019
Lions,571,344,60.2,7.3,4187,28,15,88.2,196,34.3,60,13,75,43,287,2019
Packers,573,356,62.1,7,4017,26,4,95.3,190,33.2,52,12,74T,36,284,2019
Panthers,633,382,60.4,6.5,4134,17,21,74.7,230,36.3,40,7,52T,58,484,2019
Patriots,620,378,61,6.7,4153,25,9,88.2,197,31.8,62,6,59,28,192,2019
Raiders,523,367,70.2,7.9,4110,22,8,101,194,37.1,54,10,75,29,184,2019
Rams,632,397,62.8,7.4,4669,22,17,85.6,222,35.1,73,6,66,22,170,2019
Ravens,440,289,65.7,7.6,3350,37,8,109,171,38.9,44,8,83T,28,125,2019
Redskins,479,298,62.2,6.7,3205,18,13,83,154,32.2,38,6,75,50,393,2019
Saints,581,418,71.9,7.6,4431,36,6,110.2,230,39.6,54,9,61T,25,187,2019
Seahawks,517,341,66,8,4110,31,6,105.3,190,36.8,55,10,60T,48,319,2019
Steelers,510,315,61.8,6.3,3214,18,19,76,147,28.8,37,8,79,32,233,2019
Texans,534,355,66.5,7.6,4083,27,14,95.3,203,38,51,10,54T,49,300,2019
