Team,Att,RushYds,YPC,TD,20+,40+,Lng,Rush_1st,Rush_1st%,Rush_FUM,Year
49ers,504,2360,4.7,20,19,4,71,132,26.2,7,2022
Bears,558,3014,5.4,18,20,8,67,148,26.5,10,2022
Bengals,399,1528,3.8,14,7,1,40,96,24.1,0,2022
Bills,430,2232,5.2,15,20,2,44T,128,29.8,12,2022
Broncos,444,1935,4.4,11,7,1,52,105,23.6,10,2022
Browns,532,2490,4.7,19,21,1,41,142,26.7,4,2022
Buccaneers,386,1308,3.4,5,3,0,35,79,20.5,5,2022
Cardinals,434,1873,4.3,15,9,2,45,115,26.5,11,2022
Chargers,404,1524,3.8,15,6,2,72T,93,23,6,2022
Chiefs,417,1970,4.7,18,10,1,52,105,25.2,8,2022
Colts,439,1866,4.2,8,9,1,66T,91,20.7,8,2022
Commanders,538,2143,4,9,8,0,33,124,23,8,2022
Cowboys,531,2298,4.3,24,17,3,57,129,24.3,2,2022
Dolphins,390,1686,4.3,12,10,1,67,93,23.8,5,2022
Eagles,544,2509,4.6,32,17,2,42T,161,29.6,7,2022
Falcons,559,2718,4.9,17,17,4,44,152,27.2,8,2022
Giants,520,2519,4.8,21,15,2,68,150,28.8,5,2022
Jaguars,448,2116,4.7,16,15,6,62,114,25.4,9,2022
Jets,405,1686,4.2,13,11,2,62,79,19.5,4,2022
Lions,480,2179,4.5,23,12,7,58,114,23.8,5,2022
Packers,456,2113,4.6,12,10,1,46T,116,25.4,5,2022
Panthers,483,2210,4.6,16,15,3,60T,119,24.6,10,2022
Patriots,425,1812,4.3,12,11,2,49,98,23.1,8,2022
Raiders,428,2059,4.8,12,9,2,86T,122,28.5,5,2022
Rams,411,1661,4,15,8,1,42,89,21.6,5,2022
Ravens,526,2720,5.2,14,18,3,79T,167,31.8,9,2022
Saints,465,1982,4.3,12,7,3,60,103,22.2,8,2022
Seahawks,425,2042,4.8,12,18,4,74,106,24.9,5,2022
Steelers,500,2073,4.2,16,8,0,36,129,25.8,6,2022
Texans,398,1476,3.7,7,7,2,75,90,22.6,10,2022
Titans,487,2131,4.4,16,13,4,56,104,21.4,7,2022
Vikings,404,1661,4.1,18,5,3,81,93,23,5,2022
49ers,499,2166,4.3,22,12,1,49T,130,26,5,2021
Bears,475,2018,4.2,14,13,1,41T,119,25,5,2021
Bengals,436,1742,4,16,8,1,46T,96,22,2,2021
Bills,461,2209,4.8,20,18,2,46T,134,29.1,8,2021
Broncos,455,2025,4.4,16,10,3,70,124,27.2,7,2021
Browns,485,2471,5.1,20,18,2,70,138,28.4,5,2021
Buccaneers,385,1672,4.3,18,9,2,55,106,27.5,3,2021
Cardinals,496,2076,4.2,23,10,3,57T,127,25.6,16,2021
Chargers,423,1834,4.3,18,7,1,75,112,26.5,3,2021
Chiefs,431,1955,4.5,16,9,1,51,119,27.6,8,2021
Colts,499,2540,5.1,22,19,5,83T,154,30.9,7,2021
Cowboys,473,2119,4.5,15,11,2,58,111,23.5,8,2021
Dolphins,442,1568,3.6,12,5,0,30T,87,19.7,5,2021
Eagles,550,2715,4.9,25,17,0,38T,163,29.6,6,2021
Falcons,393,1451,3.7,11,2,0,39T,75,19.1,9,2021
Football Team,477,2061,4.3,13,8,0,38,129,27,10,2021
Giants,419,1688,4,8,9,2,46,90,21.5,4,2021
Jaguars,392,1755,4.5,13,7,2,66T,92,23.5,6,2021
Jets,380,1667,4.4,14,9,2,55,87,22.9,1,2021
Lions,427,1886,4.4,12,12,2,57,104,24.4,6,2021
Packers,446,1900,4.3,13,7,1,57,109,24.4,5,2021
Panthers,455,1842,4,17,8,0,33T,118,25.9,10,2021
Patriots,489,2151,4.4,24,11,1,64T,139,28.4,7,2021
Raiders,414,1617,3.9,14,7,0,31,95,23,9,2021
Rams,420,1683,4,10,3,0,39T,99,23.6,3,2021
Ravens,517,2479,4.8,18,15,1,46,159,30.8,7,2021
Saints,510,1991,3.9,12,9,1,44,113,22.2,2,2021
Seahawks,413,2074,5,18,18,3,73,106,25.7,4,2021
Steelers,411,1583,3.8,10,9,0,37,85,20.7,0,2021
Texans,420,1422,3.4,8,6,0,36,77,18.3,5,2021
Titans,551,2404,4.4,23,11,3,76,134,24.3,9,2021
Vikings,449,1930,4.3,10,13,2,66,103,22.9,6,2021
49ers,437,1889,4.3,19,8,2,80,101,23.1,6,2020
Bears,393,1647,4.2,12,8,3,80,93,23.7,1,2020
Bengals,411,1668,4.1,13,9,2,55,92,22.4,8,2020
Bills,411,1723,4.2,16,10,1,51,119,29,6,2020
Broncos,442,1918,4.3,13,13,3,65,94,21.3,7,2020
Browns,495,2374,4.8,21,21,4,59,133,26.9,7,2020
Buccaneers,369,1519,4.1,16,9,2,98,82,22.2,3,2020
Cardinals,479,2237,4.7,22,17,2,69T,136,28.4,9,2020
Chargers,466,1784,3.8,12,10,0,36,111,23.8,8,2020
Chiefs,403,1799,4.5,13,10,0,32,110,27.3,5,2020
Colts,459,1996,4.4,20,12,3,62,129,28.1,1,2020
Cowboys,430,1788,4.2,14,7,2,42,115,26.7,7,2020
Dolphins,428,1688,3.9,15,7,0,31,100,23.4,5,2020
Eagles,403,2027,5,16,12,5,82,114,28.3,15,2020
Falcons,409,1532,3.8,13,6,1,62,86,21,5,2020
Football Team,400,1611,4,18,7,1,40,108,27,3,2020
Giants,399,1768,4.4,13,9,3,80T,91,22.8,5,2020
Jaguars,337,1519,4.5,9,6,1,47T,80,23.7,3,2020
Jets,406,1683,4.2,9,4,1,46,94,23.2,2,2020
Lions,367,1499,4.1,17,5,1,54,93,25.3,5,2020
Packers,443,2118,4.8,16,10,4,77,114,25.7,4,2020
Panthers,407,1704,4.2,19,6,1,45T,110,27,7,2020
Patriots,502,2346,4.7,20,13,3,49,143,28.5,8,2020
Raiders,457,1916,4.2,20,9,1,43,121,26.5,9,2020
Rams,473,2018,4.3,19,9,4,61T,123,26,4,2020
Ravens,555,3071,5.5,24,31,5,72,166,29.9,11,2020
Saints,494,2265,4.6,30,14,3,49T,147,29.8,9,2020
Seahawks,411,1971,4.8,15,11,1,50,111,27,6,2020
Steelers,373,1351,3.6,12,10,2,59,81,21.7,7,2020
Texans,344,1466,4.3,10,5,1,48T,83,24.1,7,2020
Titans,521,2690,5.2,26,20,5,94,142,27.3,5,2020
Vikings,468,2283,4.9,20,10,1,70T,139,29.7,5,2020
49ers,498,2305,4.6,23,16,4,83,110,22.1,8,2019
Bears,395,1458,3.7,8,5,2,55T,85,21.5,5,2019
Bengals,385,1517,3.9,9,8,1,41,85,22.1,3,2019
Bills,465,2054,4.4,13,13,1,41,120,25.8,13,2019
Broncos,409,1662,4.1,11,8,1,40T,77,18.8,2,2019
Browns,393,1901,4.8,15,11,4,88T,90,22.9,5,2019
Buccaneers,409,1521,3.7,15,10,1,49,81,19.8,6,2019
Cardinals,396,1990,5,18,16,1,80,109,27.5,3,2019
Chargers,366,1453,4,12,9,1,40,90,24.6,7,2019
Chiefs,375,1569,4.2,16,10,3,91,93,24.8,5,2019
Colts,471,2130,4.5,17,14,3,63T,131,27.8,3,2019
Cowboys,449,2153,4.8,18,11,2,44,120,26.7,7,2019
Dolphins,349,1156,3.3,10,3,0,28T,64,18.3,7,2019
Eagles,454,1939,4.3,16,7,2,65,104,22.9,9,2019
Falcons,362,1361,3.8,10,6,0,28,84,23.2,4,2019
Giants,362,1685,4.6,11,13,3,68T,89,24.6,9,2019
Jaguars,389,1708,4.4,3,10,4,81,85,21.8,3,2019
Jets,383,1257,3.3,6,2,0,24,61,15.9,5,2019
