Original_Name,Team ID,Team_City,Team_Name
Cardinals,1,Arizona,Cardinals
Falcons,2,Atlanta,Falcons
Ravens,3,Baltimore,Ravens
Bills,4,Buffalo,Bills
Panthers,5,Carolina,Panthers
Bears,6,Chicago,Bears
Bengals,7,Cincinnati,Bengals
Browns,8,Cleveland,Browns
Cowboys,9,Dallas,Cowboys
Broncos,10,Denver,Broncos
Lions,11,Detroit,Lions
Packers,12,Green Bay,Packers
Texans,13,Houston,Texans
Colts,14,Indianapolis,Colts
Jaguars,15,Jacksonville,Jaguars
Chiefs,16,Kansas City,Chiefs
Chargers,17,LA Chargers,Chargers
Rams,18,LA Rams,Rams
Raiders,19,Las Vegas,Raiders
Dolphins,20,Miami,Dolphins
Vikings,21,Minnesota,Vikings
Patriots,22,New England,Patriots
Saints,23,New Orleans,Saints
Giants,24,NY Giants,Giants
Jets,25,NY Jets,Jets
Eagles,26,Philadelphia,Eagles
Steelers,27,Pittsburgh,Steelers
49ers,28,San Francisco,49ers
Seahawks,29,Seattle,Seahawks
Buccaneers,30,Tampa Bay,Buccaneers
Titans,31,Tennessee,Titans
Redskins,32,Washington,Commanders
Football Team,32,Washington,Commanders
Commanders,32,Washington,Commanders
Niners,28,San Francisco,49ers
