Team,Off_Pass_Att,Cmp,Cmp %,Yds/Att,Pass Yds,Off_Pass_TD,INT,Rate,1st,1st%,Off_Pass_20+,Off_Pass_40+,Off_Pass_Lng,Sck,SckY,Year,Off_Rush_Att,Rush Yds,YPC,Off_Rush_TD,Off_Rush_20+,Off_Rush_40+,Off_Rush_Lng,Rush 1st,Rush 1st%,Rush FUM
Giants,616,344,55.8,5.9,3642,16,20,68.4,184,29.9,35,8,77,44,259,2003,387,1559,4,6,6,0,27,89,23,9
Rams,600,377,62.8,7.2,4287,23,23,81,211,35.2,64,6,48,43,326,2003,411,1496,3.6,19,7,1,52,97,23.6,5
Buccaneers,592,369,62.3,6.7,3941,27,22,81.5,190,32.1,38,9,76,23,136,2003,421,1648,3.9,5,3,2,61,86,20.4,6
Lions,588,319,54.2,5.1,2988,17,24,61.1,152,25.8,26,3,72,11,64,2003,376,1338,3.6,5,8,0,39,69,18.4,7
Colts,569,381,67,7.5,4289,29,10,99,212,37.3,45,9,79,19,110,2003,453,1695,3.7,16,5,1,43,104,23,11
Patriots,537,320,59.6,6.8,3651,23,13,84.3,177,33,44,8,82,32,219,2003,473,1607,3.4,9,5,1,42,91,19.2,7
Chiefs,536,339,63.2,7.7,4113,24,12,92.4,201,37.5,55,8,67,21,132,2003,446,1929,4.3,32,11,0,39,120,26.9,2
Saints,535,314,58.7,6.8,3641,25,8,88.7,177,33.1,36,7,76,36,203,2003,448,2000,4.5,11,17,3,76,100,22.3,12
Cardinals,534,303,56.7,6.1,3265,18,22,68.9,147,27.5,38,8,71,44,306,2003,403,1531,3.8,5,5,0,36,80,19.8,12
Steelers,532,306,57.5,6.7,3548,19,17,76.4,174,32.7,46,5,81,42,244,2003,446,1488,3.3,10,5,0,32,77,17.3,8
Redskins,527,283,53.7,6.2,3273,21,16,73.3,156,29.6,45,4,64,43,267,2003,421,1653,3.9,8,9,0,38,95,22.6,7
Chargers,525,297,56.6,6.1,3226,21,19,73.1,146,27.8,45,6,73,29,205,2003,417,2146,5.2,16,13,5,73,117,28.1,9
Raiders,521,278,53.4,5.7,2988,9,14,65,140,26.9,38,2,47,43,237,2003,423,1822,4.3,15,11,3,53,98,23.2,8
Seahawks,521,317,60.8,7.4,3872,27,16,88.2,190,36.5,54,5,80,43,254,2003,453,2009,4.4,17,12,3,55,121,26.7,9
Bengals,520,324,62.3,6.9,3591,26,15,87.4,181,34.8,37,11,82,37,249,2003,481,1987,4.1,12,10,4,54,101,21,2
Vikings,520,333,64,8,4169,32,13,99,194,37.3,52,15,72,42,218,2003,493,2343,4.8,15,10,3,61,124,25.2,15
Bears,515,271,52.6,5.6,2905,12,20,61,143,27.8,37,5,61,43,288,2003,443,1763,4,13,8,1,67,103,23.2,10
Jaguars,515,303,58.8,6.6,3421,17,17,76,163,31.6,40,8,84,28,136,2003,481,2073,4.3,13,11,2,62,118,24.5,8
49ers,511,299,58.5,7,3566,25,15,84,172,33.7,46,7,75,28,158,2003,499,2279,4.6,16,13,2,78,117,23.4,12
Cowboys,510,294,57.6,6.6,3347,17,21,71.4,149,29.2,49,7,64,37,185,2003,515,1999,3.9,11,6,3,63,115,22.3,8
Browns,509,313,61.5,6.1,3116,17,18,75.2,153,30.1,25,6,71,40,282,2003,412,1670,4,8,7,1,78,91,22.1,13
Bills,502,293,58.4,6.1,3069,11,17,69.4,150,29.9,31,2,54,51,385,2003,427,1664,3.9,13,6,1,64,96,22.5,14
Titans,502,315,62.8,8,4031,30,9,100.3,211,42,55,12,73,25,153,2003,486,1623,3.3,11,6,0,28,83,17.1,8
Jets,496,312,62.9,7.1,3524,20,14,85.8,181,36.5,44,8,65,31,208,2003,409,1635,4,8,8,1,56,78,19.1,6
Eagles,484,279,57.6,6.8,3273,17,11,80.5,156,32.2,45,9,59,43,253,2003,417,2015,4.8,23,15,3,64,105,25.2,8
Broncos,479,280,58.5,6.5,3126,19,18,75.6,162,33.8,35,6,72,25,157,2003,543,2629,4.8,20,22,8,65,133,24.5,10
Packers,473,310,65.5,7.1,3377,32,21,90.5,166,35.1,42,7,66,19,137,2003,507,2558,5,18,20,7,98,127,25,12
Falcons,460,230,50,5.7,2631,14,21,58.7,127,27.6,31,9,86,35,223,2003,435,1949,4.5,17,14,7,69,99,22.8,5
Panthers,460,270,58.7,7,3238,19,16,79.6,146,31.7,46,9,67,26,188,2003,522,2091,4,9,12,1,40,114,21.8,11
