Team,Att_Pass,Cmp,Cmp %,Yds/Att,Yds,TD_Pass,INT_Pass,1st,1st%,Sck,Year,Att_Rush,Rush Yds,YPC,TD_Rush,Rush 1st_Pass,Rush 1st%_Pass,3rd Att,3rd Md,4th Att,4th Md,Rush 1st_Rush,Rush 1st%_Rush,Scrm Plys,FF,FR,FR TD,INT_y,INT TD,INT Yds,Lng
Giants,519,309,59.5,6.6,3412,25,10,178,34.3,45,2003,496,1908,3.8,12,102,20.6,225,85,11,5,102,20.6,1060,21,0,0,10,2,199,56
Rams,510,296,58,6,3072,23,24,164,32.2,42,2003,412,1980,4.8,9,92,22.3,209,75,21,9,92,22.3,964,25,0,0,24,3,505,74
Buccaneers,475,274,57.7,5.7,2710,16,20,140,29.5,36,2003,451,1756,3.9,6,89,19.7,214,68,18,7,89,19.7,962,23,0,0,20,3,229,44
Lions,522,331,63.4,6.8,3578,26,15,166,31.8,28,2003,447,1782,4,14,105,23.5,214,87,13,8,105,23.5,997,17,0,0,15,1,130,48
Colts,445,277,62.2,6.3,2809,18,15,138,31,31,2003,437,1980,4.5,19,117,26.8,188,72,11,6,117,26.8,913,24,0,0,15,2,244,75
Patriots,618,328,53.1,5.2,3232,11,29,177,28.6,41,2003,401,1434,3.6,10,91,22.7,235,81,16,6,91,22.7,1060,19,0,0,29,5,358,65
Chiefs,565,332,58.8,6,3363,19,25,184,32.6,36,2003,453,2344,5.2,18,120,26.5,213,78,23,10,120,26.5,1054,15,0,0,25,3,310,79
Saints,485,264,54.4,6.2,2993,20,14,165,34,32,2003,480,2241,4.7,12,109,22.7,208,79,16,9,109,22.7,997,20,0,0,14,2,226,73
Cardinals,497,311,62.6,7.2,3589,29,13,184,37,21,2003,475,1915,4,17,120,25.3,199,92,8,3,120,25.3,993,14,0,0,13,1,271,70
Steelers,484,294,60.7,6.3,3042,20,14,155,32,35,2003,449,1741,3.9,14,89,19.8,209,71,16,7,89,19.8,968,11,0,0,14,2,215,42
Redskins,483,285,59,6.6,3195,23,17,176,36.4,27,2003,504,2217,4.4,20,122,24.2,209,84,11,8,122,24.2,1014,16,0,0,17,0,184,44
Chargers,524,322,61.4,6.4,3375,36,13,178,34,30,2003,518,2218,4.3,12,124,23.9,231,97,18,10,124,23.9,1072,14,0,0,13,1,157,41
Raiders,467,286,61.2,7.3,3394,21,14,159,34,25,2003,544,2510,4.6,21,127,23.4,215,80,14,8,127,23.4,1036,12,0,0,14,2,280,83
Seahawks,573,343,59.9,6.1,3480,24,16,183,31.9,40,2003,456,1759,3.9,9,93,20.4,235,99,18,7,93,20.4,1069,12,0,0,16,0,157,33
Bengals,508,297,58.5,6.7,3402,23,14,177,34.8,30,2003,461,2218,4.8,18,119,25.8,206,85,14,9,119,25.8,999,16,0,0,14,0,123,31
Vikings,531,311,58.6,6.6,3477,17,28,186,35,37,2003,387,1879,4.9,22,94,24.3,182,70,14,6,94,24.3,955,19,0,0,28,4,693,80
